Address,Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
6/219 Nicholson St,Abbotsford,2,u,500000.0,S,Collins,18/06/2016,2.5,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,Yarra,-37.8015,144.9972,Northern Metropolitan,4019.0
52a William St,Abbotsford,2,h,1100000.0,PI,Biggin,18/06/2016,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,Yarra,-37.8079,144.9977,Northern Metropolitan,4019.0
49 Park St,Abbotsford,2,h,1315000.0,S,Marshall,19/11/2016,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,Yarra,-37.808,144.994,Northern Metropolitan,4019.0
5/20 Abbotsford St,Abbotsford,1,u,426000.0,SP,Greg,22/08/2016,2.5,3067.0,1.0,1.0,1.0,0.0,,,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0
48 Abbotsford St,Abbotsford,3,h,1447500.0,PI,Nelson,22/08/2016,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,Yarra,-37.8017,145.0001,Northern Metropolitan,4019.0
116/56 Nicholson St,Abbotsford,1,u,457000.0,S,Jellis,22/08/2016,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0
159 Park St,Abbotsford,2,h,1135000.0,S,Nelson,22/08/2016,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,Yarra,-37.8005,144.9952,Northern Metropolitan,4019.0
31 Turner St,Abbotsford,4,h,1542000.0,S,Collins,24/09/2016,2.5,3067.0,4.0,3.0,1.0,0.0,,,Yarra,-37.7994,144.9965,Northern Metropolitan,4019.0
166 Gipps St,Abbotsford,3,h,1290000.0,S,Biggin,25/02/2017,2.5,3067.0,3.0,2.0,2.0,147.0,18.0,,Yarra,-37.805,144.9943,Northern Metropolitan,4019.0
60 Stafford St,Abbotsford,3,h,1290000.0,S,Biggin,25/02/2017,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,Yarra,-37.8007,144.9958,Northern Metropolitan,4019.0
11/205 Gipps St,Abbotsford,1,u,470000.0,S,Nelson,26/07/2016,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,Yarra,-37.8055,144.9961,Northern Metropolitan,4019.0
47 Studley St,Abbotsford,2,h,1180000.0,S,Jellis,27/11/2016,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,Yarra,-37.8016,144.9956,Northern Metropolitan,4019.0
45 Yarra St,Abbotsford,3,h,1195000.0,SP,Jellis,27/11/2016,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,Yarra,-37.8022,144.9954,Northern Metropolitan,4019.0
200 Nicholson St,Abbotsford,2,h,1012500.0,S,Nelson,28/05/2016,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,Yarra,-37.8021,144.9976,Northern Metropolitan,4019.0
27 Charles St,Abbotsford,2,h,1030000.0,S,Biggin,30/07/2016,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra,-37.8086,144.9946,Northern Metropolitan,4019.0
154 Halsey Rd,Airport West,3,t,840000.0,PI,Nelson,3/09/2016,13.5,3042.0,3.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley,-37.718,144.878,Western Metropolitan,3464.0
50 Bedford St,Airport West,3,h,730000.0,VB,Nelson,3/12/2016,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0
50 Bedford St,Airport West,3,h,770000.0,SP,Nelson,4/03/2017,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0
23 Hart St,Airport West,2,h,603000.0,S,Nelson,4/03/2017,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464.0
1/80 Hawker St,Airport West,3,t,700000.0,S,Brad,4/03/2017,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464.0
1/37 Hillside Gr,Airport West,3,h,600000.0,S,Maddison,4/03/2017,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464.0
2/49 McIntosh St,Airport West,2,u,500000.0,VB,Barry,4/03/2017,13.5,3042.0,2.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464.0
54 Marshall Rd,Airport West,3,h,720000.0,S,Barry,6/08/2016,13.5,3042.0,2.0,1.0,1.0,620.0,,,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464.0
36 Roberts Rd,Airport West,4,h,785000.0,S,Considine,6/08/2016,13.5,3042.0,3.0,1.0,2.0,597.0,127.0,,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464.0
11 Harrington Rd,Airport West,6,h,725000.0,SP,Barry,7/05/2016,13.5,3042.0,6.0,3.0,2.0,976.0,186.0,1980.0,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464.0
2/252 Parer Rd,Airport West,2,t,450000.0,S,Barry,7/05/2016,13.5,3042.0,2.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464.0
3/19 Hart St,Airport West,2,u,515000.0,S,Barry,7/11/2016,13.5,3042.0,2.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464.0
2/62 Clydesdale Rd,Airport West,2,u,530000.0,S,Nelson,10/09/2016,13.5,3042.0,2.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464.0
3 Deidre Ct,Airport West,3,h,895000.0,PI,Rendina,10/09/2016,13.5,3042.0,3.0,1.0,6.0,1063.0,133.0,1975.0,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464.0
13 Etzel St,Airport West,3,h,805000.0,S,Nelson,10/12/2016,13.5,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464.0
1/43 Cameron St,Airport West,3,u,752000.0,S,Nelson,11/02/2017,13.5,3042.0,3.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464.0
145a Victory Rd,Airport West,2,u,440000.0,S,Barry,13/08/2016,13.5,3042.0,2.0,1.0,1.0,192.0,,,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3464.0
241 Parer Rd,Airport West,5,h,755000.0,PI,Propertyau,14/05/2016,13.5,3042.0,3.0,2.0,2.0,596.0,,,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3464.0
2/40 Earl St,Airport West,3,t,700000.0,PI,Brad,15/10/2016,13.5,3042.0,3.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley,-37.727,144.887,Western Metropolitan,3464.0
180 Parer Rd,Airport West,3,h,830000.0,S,Barry,16/04/2016,13.5,3042.0,3.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464.0
4/54 Hawker St,Airport West,2,u,462500.0,S,Barry,16/07/2016,13.5,3042.0,2.0,1.0,1.0,164.0,,2003.0,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464.0
43 Hillside Gr,Airport West,3,h,670000.0,SP,Barry,16/07/2016,13.5,3042.0,3.0,2.0,2.0,657.0,,,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3464.0
174 Parer Rd,Airport West,2,h,675000.0,S,Barry,16/07/2016,13.5,3042.0,2.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464.0
138 Victory Rd,Airport West,3,h,1042000.0,S,Nelson,16/07/2016,13.5,3042.0,3.0,2.0,5.0,612.0,174.0,1950.0,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464.0
75 King St,Airport West,3,h,910000.0,S,McDonald,17/09/2016,13.5,3042.0,3.0,1.0,1.0,775.0,,,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3464.0
6 Kittyhawk St,Airport West,4,h,773000.0,S,Brad,17/09/2016,13.5,3042.0,5.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464.0
478 Fullarton Rd,Airport West,3,h,810000.0,PI,Barry,18/03/2017,13.5,3042.0,3.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464.0
144 Marshall Rd,Airport West,3,h,715000.0,S,Rendina,18/03/2017,13.5,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464.0
106 Parer Rd,Airport West,3,h,790000.0,S,Nelson,18/03/2017,13.5,3042.0,3.0,1.0,3.0,614.0,,,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464.0
3/7 South Rd,Airport West,3,t,540000.0,SP,Nelson,18/06/2016,13.5,3042.0,2.0,2.0,1.0,161.0,101.0,2010.0,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464.0
37 North St,Airport West,3,t,825000.0,SP,Barry,19/11/2016,13.5,3042.0,3.0,2.0,1.0,293.0,102.0,1960.0,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464.0
10 Hilbert Rd,Airport West,3,h,685000.0,S,Barry,22/05/2016,13.5,3042.0,3.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464.0
110 Halsey Rd,Airport West,3,h,805000.0,S,Barry,22/08/2016,13.5,3042.0,3.0,1.0,1.0,623.0,,,Moonee Valley,-37.7184,144.882,Western Metropolitan,3464.0
2/13 North St,Airport West,2,u,510000.0,S,Nelson,22/08/2016,13.5,3042.0,2.0,1.0,1.0,141.0,76.0,,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464.0
105a Victory Rd,Airport West,3,h,612000.0,S,Nelson,22/08/2016,13.5,3042.0,3.0,2.0,1.0,212.0,,,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464.0
117 Marshall Rd,Airport West,3,h,662000.0,S,Brad,23/04/2016,13.5,3042.0,3.0,1.0,2.0,612.0,,,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464.0
34 Moorna Dr,Airport West,4,h,978000.0,S,Nelson,24/09/2016,13.5,3042.0,4.0,3.0,2.0,532.0,,,Moonee Valley,-37.7263,144.869,Western Metropolitan,3464.0
33 North St,Airport West,3,h,720000.0,PI,Nelson,25/02/2017,13.5,3042.0,3.0,1.0,1.0,585.0,,,Moonee Valley,-37.72,144.878,Western Metropolitan,3464.0
49 Roberts Rd,Airport West,4,h,765000.0,S,Prof.,27/11/2016,13.5,3042.0,4.0,1.0,2.0,509.0,,,Moonee Valley,-37.7261,144.8785,Western Metropolitan,3464.0
85 Roberts Rd,Airport West,4,h,900000.0,S,Harcourts,27/11/2016,13.5,3042.0,4.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464.0
105 Kerferd Rd,Albert Park,2,h,1275000.0,S,hockingstuart,3/09/2016,3.3,3206.0,2.0,1.0,0.0,120.0,82.0,1900.0,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280.0
85 Richardson St,Albert Park,2,h,1455000.0,S,Thomson,3/09/2016,3.3,3206.0,2.0,1.0,0.0,159.0,,,Port Phillip,-37.845,144.9538,Southern Metropolitan,3280.0
112 Beaconsfield Pde,Albert Park,3,h,2850000.0,PI,Buxton,4/03/2017,3.3,3206.0,3.0,2.0,0.0,211.0,198.0,1890.0,Port Phillip,-37.8481,144.9499,Southern Metropolitan,3280.0
94 Graham St,Albert Park,3,h,1850000.0,S,Greg,4/03/2017,3.3,3206.0,3.0,2.0,0.0,128.0,133.0,1890.0,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3280.0
396 Montague St,Albert Park,2,h,1436000.0,S,RT,4/03/2017,3.3,3206.0,2.0,1.0,0.0,130.0,81.0,1900.0,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280.0
75 Graham St,Albert Park,2,h,1110000.0,S,Marshall,6/08/2016,3.3,3206.0,1.0,1.0,0.0,147.0,,1900.0,Port Phillip,-37.8444,144.9484,Southern Metropolitan,3280.0
54 Brooke St,Albert Park,2,h,1550000.0,S,Sotheby's,7/05/2016,3.3,3206.0,2.0,1.0,1.0,167.0,,,Port Phillip,-37.8405,144.9521,Southern Metropolitan,3280.0
104 Richardson St,Albert Park,4,h,2300000.0,S,Marshall,7/05/2016,3.3,3206.0,4.0,2.0,1.0,153.0,180.0,1880.0,Port Phillip,-37.8447,144.9523,Southern Metropolitan,3280.0
4a Mills St,Albert Park,3,t,1550000.0,VB,Marshall,7/11/2016,3.3,3206.0,3.0,2.0,2.0,718.0,,,Port Phillip,-37.8443,144.9598,Southern Metropolitan,3280.0
1 Moubray St,Albert Park,3,h,1800000.0,VB,Greg,7/11/2016,3.3,3206.0,3.0,2.0,1.0,132.0,159.0,1996.0,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280.0
29 Faussett St,Albert Park,2,h,2120000.0,S,Greg,10/09/2016,3.3,3206.0,2.0,1.0,1.0,199.0,107.0,1900.0,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280.0
3 Herbert St,Albert Park,3,h,1800000.0,VB,Cayzer,10/09/2016,3.3,3206.0,3.0,1.0,1.0,253.0,,,Port Phillip,-37.8443,144.9579,Southern Metropolitan,3280.0
24 Kerferd Pl,Albert Park,3,h,1800000.0,S,Marshall,10/09/2016,3.3,3206.0,3.0,2.0,1.0,90.0,122.0,1900.0,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280.0
44 Draper St,Albert Park,2,h,1810000.0,PI,Greg,10/12/2016,3.3,3206.0,2.0,1.0,0.0,240.0,,,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3280.0
2 Dundas Pl,Albert Park,3,h,2615000.0,S,Cayzer,10/12/2016,3.3,3206.0,3.0,2.0,1.0,177.0,181.0,1880.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280.0
23 Finlay St,Albert Park,5,h,2100000.0,S,Greg,10/12/2016,3.3,3206.0,5.0,2.0,1.0,237.0,,,Port Phillip,-37.8436,144.9557,Southern Metropolitan,3280.0
31 Richardson St,Albert Park,3,h,1300000.0,S,hockingstuart,10/12/2016,3.3,3206.0,3.0,1.0,0.0,129.0,,,Port Phillip,-37.8422,144.94899999999996,Southern Metropolitan,3280.0
4a Gatehouse La,Albert Park,3,h,1370000.0,S,Greg,12/06/2016,3.3,3206.0,3.0,2.0,2.0,0.0,85.0,2000.0,Port Phillip,-37.8451,144.9511,Southern Metropolitan,3280.0
60 Brooke St,Albert Park,2,h,1000000.0,S,Cayzer,12/11/2016,3.3,3206.0,2.0,1.0,0.0,288.0,,,Port Phillip,-37.8407,144.9523,Southern Metropolitan,3280.0
70 Barrett St,Albert Park,3,h,2575000.0,S,Greg,15/10/2016,3.3,3206.0,3.0,2.0,1.0,228.0,,,Port Phillip,-37.8445,144.9501,Southern Metropolitan,3280.0
65 Graham St,Albert Park,2,h,1322500.0,S,Greg,15/10/2016,3.3,3206.0,2.0,1.0,0.0,149.0,98.0,1890.0,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280.0
364 Montague St,Albert Park,2,h,1562500.0,S,Greg,15/10/2016,3.3,3206.0,2.0,1.0,0.0,141.0,83.0,1890.0,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280.0
86 Mills St,Albert Park,3,h,2000000.0,VB,RT,16/04/2016,3.3,3206.0,3.0,2.0,1.0,211.0,147.0,1900.0,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280.0
129 Kerferd Rd,Albert Park,3,h,1900000.0,S,Greg,18/03/2017,3.3,3206.0,3.0,1.0,0.0,209.0,,1900.0,Port Phillip,-37.8468,144.9546,Southern Metropolitan,3280.0
97 Page St,Albert Park,3,h,3010000.0,S,Greg,18/03/2017,3.3,3206.0,3.0,2.0,0.0,147.0,146.0,1890.0,Port Phillip,-37.8473,144.9551,Southern Metropolitan,3280.0
55 Withers St,Albert Park,4,h,2800000.0,VB,Cayzer,18/06/2016,3.3,3206.0,4.0,3.0,1.0,327.0,254.0,1910.0,Port Phillip,-37.8467,144.9475,Southern Metropolitan,3280.0
10/140 Kerferd Rd,Albert Park,2,u,647000.0,S,Greg,22/05/2016,3.3,3206.0,2.0,1.0,1.0,0.0,,,Port Phillip,-37.846,144.9542,Southern Metropolitan,3280.0
55 Merton St,Albert Park,3,h,2100000.0,SP,Marshall,23/04/2016,3.3,3206.0,2.0,1.0,1.0,120.0,123.0,1900.0,Port Phillip,-37.8427,144.9546,Southern Metropolitan,3280.0
49 Page St,Albert Park,3,h,2000000.0,PI,Marshall,24/09/2016,3.3,3206.0,3.0,1.0,1.0,238.0,131.0,1890.0,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280.0
13/52 Moubray St,Albert Park,1,u,442500.0,S,Marshall,25/02/2017,3.3,3206.0,1.0,1.0,0.0,0.0,34.0,1970.0,Port Phillip,-37.8421,144.9517,Southern Metropolitan,3280.0
115 Page St,Albert Park,4,h,4735000.0,S,Marshall,25/02/2017,3.3,3206.0,4.0,2.0,1.0,330.0,207.0,1910.0,Port Phillip,-37.8477,144.9558,Southern Metropolitan,3280.0
32 Page St,Albert Park,2,h,1340000.0,S,Greg,25/02/2017,3.3,3206.0,2.0,1.0,0.0,136.0,,,Port Phillip,-37.846,144.9517,Southern Metropolitan,3280.0
34 Richardson St,Albert Park,3,h,1801000.0,S,hockingstuart,25/02/2017,3.3,3206.0,3.0,1.0,1.0,202.0,,,Port Phillip,-37.8429,144.9493,Southern Metropolitan,3280.0
2b Dundas Pl,Albert Park,3,h,1532000.0,S,Chisholm,26/07/2016,3.3,3206.0,3.0,3.0,1.0,0.0,,,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280.0
22 Greig St,Albert Park,3,h,3755000.0,S,Greg,26/07/2016,3.3,3206.0,3.0,2.0,2.0,325.0,,,Port Phillip,-37.8413,144.95,Southern Metropolitan,3280.0
27 Barrett St,Albert Park,4,h,2140000.0,S,Greg,27/06/2016,3.3,3206.0,3.0,2.0,1.0,183.0,145.0,1880.0,Port Phillip,-37.8434,144.9495,Southern Metropolitan,3280.0
44 Greig St,Albert Park,2,h,1750000.0,S,Marshall,27/11/2016,3.3,3206.0,2.0,1.0,1.0,162.0,,,Port Phillip,-37.8416,144.9488,Southern Metropolitan,3280.0
6 Brooke St,Albert Park,2,h,980000.0,S,Greg,28/05/2016,3.3,3206.0,2.0,1.0,0.0,79.0,68.0,1890.0,Port Phillip,-37.8387,144.9519,Southern Metropolitan,3280.0
227a Danks St,Albert Park,3,h,2030000.0,S,hockingstuart,28/08/2016,3.3,3206.0,3.0,2.0,0.0,152.0,,,Port Phillip,-37.8488,144.9551,Southern Metropolitan,3280.0
17 Reed St,Albert Park,3,h,1740000.0,PI,Marshall,28/08/2016,3.3,3206.0,3.0,2.0,2.0,147.0,134.0,1890.0,Port Phillip,-37.8448,144.9453,Southern Metropolitan,3280.0
74 Bridport St,Albert Park,3,h,2800000.0,VB,Buxton,30/07/2016,3.3,3206.0,3.0,3.0,1.0,0.0,,,Port Phillip,-37.8399,144.9577,Southern Metropolitan,3280.0
9 Durham St,Albert Park,1,h,985000.0,S,Marshall,30/07/2016,3.3,3206.0,1.0,1.0,0.0,81.0,54.0,1900.0,Port Phillip,-37.8411,144.9497,Southern Metropolitan,3280.0
6 Smith St,Alphington,4,h,2000000.0,S,Brace,3/09/2016,6.4,3078.0,3.0,2.0,4.0,853.0,263.0,1930.0,Darebin,-37.7707,145.0318,Northern Metropolitan,2211.0
5/6 Yarralea St,Alphington,3,h,1110000.0,S,Jellis,3/09/2016,6.4,3078.0,3.0,2.0,2.0,208.0,,2013.0,Yarra,-37.7854,145.0325,Northern Metropolitan,2211.0
136A Fulham Rd,Alphington,3,h,1492000.0,S,Jellis,4/03/2017,6.4,3078.0,3.0,2.0,2.0,411.0,,,Darebin,-37.7713,145.0279,Northern Metropolitan,2211.0
44 Shiers St,Alphington,4,h,1717500.0,S,Collins,8/10/2016,6.4,3078.0,4.0,2.0,1.0,599.0,203.0,1925.0,Darebin,-37.7717,145.031,Northern Metropolitan,2211.0
83 Fulham Rd,Alphington,5,h,2840000.0,S,Nelson,12/06/2016,6.4,3078.0,5.0,4.0,4.0,809.0,165.0,1910.0,Darebin,-37.775,145.0268,Northern Metropolitan,2211.0
3/19 Harker St,Alphington,2,u,525500.0,S,Miles,12/11/2016,6.4,3078.0,2.0,1.0,1.0,88.0,60.0,1960.0,Darebin,-37.7791,145.0306,Northern Metropolitan,2211.0
4/2 Miller St,Alphington,2,t,805000.0,S,Miles,12/11/2016,6.4,3078.0,2.0,2.0,3.0,155.0,140.0,2004.0,Darebin,-37.7804,145.0308,Northern Metropolitan,2211.0
2/5 Yarana Rd,Alphington,2,u,465000.0,S,McGrath,12/11/2016,6.4,3078.0,2.0,1.0,1.0,0.0,,,Darebin,-37.7773,145.0314,Northern Metropolitan,2211.0
815 Heidelberg Rd,Alphington,3,h,2000000.0,PI,hockingstuart,15/10/2016,6.4,3078.0,3.0,3.0,2.0,686.0,,,Darebin,-37.78,145.0341,Northern Metropolitan,2211.0
44 Naroon Rd,Alphington,3,h,1540000.0,S,Nelson,16/04/2016,6.4,3078.0,3.0,1.0,2.0,592.0,,,Darebin,-37.7755,145.0288,Northern Metropolitan,2211.0
3/98 Grange Rd,Alphington,2,u,820000.0,S,Nelson,18/03/2017,6.4,3078.0,2.0,1.0,1.0,183.0,,,Darebin,-37.7747,145.0264,Northern Metropolitan,2211.0
10 Bennett St,Alphington,4,h,1830000.0,S,Nelson,19/11/2016,6.4,3078.0,4.0,2.0,2.0,606.0,112.0,1970.0,Darebin,-37.7743,145.0316,Northern Metropolitan,2211.0
38 Bennett St,Alphington,4,h,2100000.0,S,Nelson,19/11/2016,6.4,3078.0,4.0,2.0,2.0,575.0,271.0,2008.0,Darebin,-37.7723,145.0319,Northern Metropolitan,2211.0
2c Hamilton St,Alphington,3,h,865000.0,SP,hockingstuart,22/05/2016,6.4,3078.0,3.0,1.0,1.0,180.0,131.0,2010.0,Darebin,-37.7802,145.0243,Northern Metropolitan,2211.0
5/5 Yarana Rd,Alphington,2,u,390000.0,VB,Nelson,22/05/2016,6.4,3078.0,2.0,1.0,1.0,0.0,60.0,1960.0,Darebin,-37.7773,145.0314,Northern Metropolitan,2211.0
